City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Vao,NC,74.5,-22.6667,167.4833,Hotel Kou-Bugny
8,Benguela,AO,78.28,-12.5763,13.4055,Hotel Praia Morena
15,Sibu,MY,75.2,2.3,111.8167,RH HOTEL (4 Star)
17,Port Alfred,ZA,70.63,-33.5906,26.891,The Halyards Hotel
25,Bowen,AU,75.2,-20.0167,148.2333,Castle Motor Lodge Motel
39,Arraial Do Cabo,BR,74.32,-22.9661,-42.0278,Pousada Porto Praia
43,Saint-Philippe,RE,77.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Rikitea,PF,77.97,-23.1203,-134.9692,Pension Maro'i
53,Cantanhede,BR,74.3,-3.6333,-44.3767,HOTEL FE EM DEUS
67,Rayagada,IN,76.73,19.1667,83.4167,"Hotel Swagath, Rayagada"
73,Harrison,US,75.2,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
75,Kimbe,PG,78.01,-5.5502,150.1429,Kimbe Bay Hotel
79,Najran,SA,77.0,17.4924,44.1277,محمد هادي ال فطيح
80,Bengkulu,ID,76.21,-3.8004,102.2655,Grage Hotel Bengkulu
81,Ofaqim,IL,72.0,31.3141,34.6203,The Negev Experience
82,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Marsh Harbour,BS,79.34,26.5412,-77.0636,Abaco Beach Resort
91,Sao Filipe,CV,72.05,14.8961,-24.4956,Tortuga B&B
100,Wattegama,LK,73.51,6.7989,81.4808,
101,Hilo,US,78.8,19.7297,-155.09,Hilo Hawaiian Hotel
113,Touros,BR,78.8,-5.1989,-35.4608,INN NEW HORIZON
115,The Valley,AI,79.0,18.217,-63.0578,CeBlue Villas & Beach Resort
117,Keelung,TW,75.2,25.1283,121.7419,East Coast Star Boutique Hotel
124,Riyadh,SA,78.8,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
125,Banjar,ID,78.8,-8.19,114.9675,The Hamsa Resort
126,Cockburn Town,TC,78.8,21.4612,-71.1419,Osprey Beach Hotel
129,Pimentel,PE,71.6,-6.8367,-79.9342,Casona Del Muelle
138,Rudarpur,IN,76.39,26.4394,83.6144,Indian Guest House
139,Bambous Virieux,MU,77.0,-20.3428,57.7575,Casa Tia Villa
143,San Patricio,US,79.0,28.017,-97.5169,"Motel 6 Sinton, TX"
