City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Los Llanos De Aridane,ES,2021-04-25 23:37:06,28.6585,-17.9182,68.0,68,75,8.86
1,Ushuaia,AR,2021-04-25 23:44:20,-54.8,-68.3,50.0,71,75,24.16
2,Linxia,CN,2021-04-25 23:46:53,35.6003,103.2064,42.48,75,17,1.48
3,Sulangan,PH,2021-04-25 23:46:54,11.1373,123.7228,81.66,75,23,12.82
4,Mahon,ES,2021-04-25 23:46:54,39.8885,4.2658,59.0,77,0,17.27
5,Portland,US,2021-04-25 23:42:32,45.5234,-122.6762,60.8,44,75,8.05
6,Vao,NC,2021-04-25 23:36:58,-22.6667,167.4833,74.5,69,82,15.23
7,Avarua,CK,2021-04-25 23:42:50,-21.2078,-159.775,82.4,78,75,10.36
8,Benguela,AO,2021-04-25 23:46:36,-12.5763,13.4055,78.28,84,50,1.43
9,Vaini,TO,2021-04-25 23:46:34,-21.2,-175.2,80.6,83,75,6.91
10,Namatanai,PG,2021-04-25 23:38:34,-3.6667,152.4333,83.01,71,93,2.06
11,Severobaykalsk,RU,2021-04-25 23:46:56,55.65,109.3167,32.32,71,100,7.81
12,Alofi,NU,2021-04-25 23:45:20,-19.0595,-169.9187,86.0,70,51,6.91
13,Kodiak,US,2021-04-25 23:33:15,57.79,-152.4072,42.8,75,90,10.36
14,Fortuna,US,2021-04-25 23:38:17,40.5982,-124.1573,55.99,66,90,9.22
15,Sibu,MY,2021-04-25 23:46:56,2.3,111.8167,75.2,94,20,4.61
16,Hermanus,ZA,2021-04-25 23:43:38,-34.4187,19.2345,61.0,92,82,1.99
17,Port Alfred,ZA,2021-04-25 23:36:59,-33.5906,26.891,70.63,56,100,11.83
18,Albany,US,2021-04-25 23:46:57,42.6001,-73.9662,57.2,58,20,16.11
19,Richards Bay,ZA,2021-04-25 23:37:54,-28.783,32.0377,64.6,92,6,3.2
20,Balint,RO,2021-04-25 23:46:57,45.8125,21.8536,48.99,100,0,6.91
21,New Norfolk,AU,2021-04-25 23:46:58,-42.7826,147.0587,63.0,74,98,3.0
22,Bud,US,2021-04-25 23:38:24,39.447,-86.1758,57.2,38,1,3.44
23,Dikson,RU,2021-04-25 23:37:23,73.5069,80.5464,17.31,93,100,12.46
24,East London,ZA,2021-04-25 23:45:15,-33.0153,27.9116,67.73,59,100,9.35
25,Bowen,AU,2021-04-25 23:46:58,-20.0167,148.2333,75.2,73,90,11.5
26,Mayo,US,2021-04-25 23:37:17,38.8876,-76.5119,64.4,42,40,10.36
27,Thompson,CA,2021-04-25 23:42:51,55.7435,-97.8558,32.0,93,75,4.61
28,Winchester,GB,2021-04-25 23:46:59,51.0651,-1.3187,44.6,70,75,9.22
29,Bluff,NZ,2021-04-25 23:42:58,-46.6,168.3333,48.0,90,82,11.01
30,Anadyr,RU,2021-04-25 23:44:03,64.75,177.4833,26.6,93,90,6.71
31,Carnarvon,AU,2021-04-25 23:47:00,-24.8667,113.6333,59.0,72,0,8.05
32,Isangel,VU,2021-04-25 23:42:51,-19.55,169.2667,82.4,74,75,11.5
33,Jamestown,US,2021-04-25 23:37:00,42.097,-79.2353,41.0,65,90,16.11
34,Punta Arenas,CL,2021-04-25 23:47:00,-53.15,-70.9167,48.2,87,90,13.8
35,Barrow,US,2021-04-25 23:47:01,71.2906,-156.7887,21.2,86,1,21.85
36,Kaitangata,NZ,2021-04-25 23:37:26,-46.2817,169.8464,55.0,49,68,8.01
37,Te Anau,NZ,2021-04-25 23:39:25,-45.4167,167.7167,47.23,89,100,6.82
38,Sabla,NG,2021-04-25 23:47:01,12.7525,4.7077,93.72,26,99,9.86
39,Arraial Do Cabo,BR,2021-04-25 23:47:02,-22.9661,-42.0278,74.32,83,85,9.01
40,Charyshskoye,RU,2021-04-25 23:47:02,51.3978,83.5598,35.51,72,99,4.36
41,Windhoek,NA,2021-04-25 23:43:45,-22.5594,17.0832,57.2,54,23,4.61
42,Severo-Kurilsk,RU,2021-04-25 23:37:21,50.6789,156.125,32.41,98,100,13.42
43,Saint-Philippe,RE,2021-04-25 23:47:03,-21.3585,55.7679,77.0,73,0,17.27
44,Rikitea,PF,2021-04-25 23:47:03,-23.1203,-134.9692,77.97,75,86,5.95
45,Mehamn,NO,2021-04-25 23:38:38,71.0357,27.8492,33.1,81,99,8.72
46,Busselton,AU,2021-04-25 23:47:04,-33.65,115.3333,62.13,75,100,4.29
